"Производитель";"Код";"Название";"Наличие"
"Legrand             ";"771410                        ";"G.Life Лиц. П. выкл.,titanium           ";"12.00"
"Legrand             ";"771502                        ";"G.Life Р. 2п,pearl,гор.                 ";"75.00"
"Legrand             ";"771506                        ";"G.Life Р. 2п.,pearl,верт.               ";"1.00"
"Legrand             ";"771510                        ";"G.Life Лиц. П. выкл. Pearl              ";"40.00"
"Legrand             ";"771512                        ";"Лиц.п. для дв. Выкл. Pearl              ";"14.00"
"Legrand             ";"771520                        ";"G.Life Лиц. П. роз. 2К+З pearl          ";"198.00"
"Legrand             ";"771566                        ";"G.Life Лиц. П. роз.TV, pearl            ";"1.00"
"Legrand             ";"77210                         ";"Mosaic Розетка 2К+З нем.ст.в/заж.       ";"Много"
"Legrand             ";"77211                         ";"Mosaic Роз. 2К+З нем.ст. б/заж          ";"222.00"
"Legrand             ";"77213                         ";"Msc Роз. 2К+З н.ст. в/заж. защ.шт       ";"268.00"
"Legrand             ";"77214                         ";"Mosaic Роз. 2К+З н.ст. с блок.          ";"180.00"
"Legrand             ";"77218                         ";"Mosaic Роз. 2К+З н.ст. красн.           ";"Много"
"Legrand             ";"77219                         ";"Mosaic Розетка 2К+З нем.стандарт с крышк";"12.00"
"Legrand             ";"77252                         ";"Mosaic Роз. 2Х2К+З н.ст. 45°            ";"10.00"
"Legrand             ";"773627                        ";"Роз.2х 2К+З, нем. Стандарт, бел         ";"57.00"
"Legrand             ";"773652                        ";"Рамка 2 поста белая                     ";"301.00"
"Legrand             ";"773653                        ";"Рамка 3 поста белая                     ";"27.00"
"Legrand             ";"773654                        ";"Рамка 4 поста белая                     ";"17.00"
"Legrand             ";"773656                        ";"Выключатель 10 А, белый                 ";"157.00"
"Legrand             ";"773658                        ";"Выкл.двухкл., белый                     ";"258.00"
"Legrand             ";"773659                        ";"Роз. 2К+З, нем. Стандарт, бел           ";"Много"
"Legrand             ";"773660                        ";"Рамка 1 пост белая                      ";"208.00"
"Legrand             ";"773678                        ";"Роз. TV простая звезда, бел.            ";"4.00"
"Legrand             ";"773752                        ";"Рамка 2 поста сл. к.                    ";"124.00"
"Legrand             ";"773753                        ";"Рамка 3 поста сл. к.                    ";"32.00"
"Legrand             ";"773756                        ";"Выключатель 10 А, сл.к.                 ";"353.00"
"Legrand             ";"773757                        ";"Пер.на два напр., сл.к.                 ";"3.00"
"Legrand             ";"773758                        ";"Выкл.двухкл., сл.к.                     ";"57.00"
"Legrand             ";"773759                        ";"Роз. 2К+З, нем. Стандарт, сл.к          ";"414.00"
"Legrand             ";"773760                        ";"Рамка 1 пост сл. к.                     ";"142.00"
"Legrand             ";"774101                        ";"Выкл. IP44 10AX 250В сл.к.              ";"46.00"
"Legrand             ";"774112                        ";"Пер.на 2 нап.2х-кл.подсв.сл.к.          ";"55.00"
"Legrand             ";"774120                        ";"Роз.2К+З нем.IP44 ст.кр.защ.шт.сл.к.    ";"Много"
"Legrand             ";"774122                        ";"Розетка 2К+З авт шт СЛНК VLN            ";"16.00"
"Legrand             ";"774123                        ";"VALENA РОЗЕТКА КОЛ СЛ.К.                ";"99.00"
"Legrand             ";"774130                        ";"Розетка RJ 45 - 1 выход, UTP, сл.к      ";"Много"
"Legrand             ";"774131                        ";"Розетка RJ 45 - 2 выхода, UTP, сл.к     ";"332.00"
"Legrand             ";"774138                        ";"РозеткаValena RJ45 1- выход  сл.кость   ";"352.00"
"Legrand             ";"774151                        ";"Рамка 1п Сл.кость/Зол VLN               ";"132.00"
"Legrand             ";"774152                        ";"Рамка 2п гор Сл.кость/Зол VLN           ";"95.00"
"Legrand             ";"774153                        ";"Рамка 3п гор Сл.кость/Зол VLN           ";"40.00"
"Legrand             ";"774154                        ";"Рамка 4п гор Сл.кость/Зол VLN           ";"14.00"
"Legrand             ";"774160                        ";"Повор. светорег сл.к.. 1000 Вт Valena   ";"18.00"
"Legrand             ";"774161                        ";"Val.Светорег.пов.400Вт сл.к. накалив    ";"116.00"
"Legrand             ";"774163                        ";"VLN-c СЛК Диммер LED 300Вт              ";"7.00"
"Legrand             ";"774169                        ";"VLN-C ДДвиж 1000Вт слк                  ";"12.00"
"Legrand             ";"774170                        ";"2-pозетка USB СЛНК VLN                  ";"284.00"
"Legrand             ";"774174                        ";"Val.Светорег.4 кн.600Вт                 ";"69.00"
"Legrand             ";"774180                        ";"ValenaRJ11/RJ45 UTP кат.6 слк           ";"22.00"
"Legrand             ";"774185                        ";"Розетка HDMI СЛНК VLN                   ";"12.00"
"Legrand             ";"774191                        ";"Valena терм-т теп. пола сл.к..          ";"30.00"
"Legrand             ";"774201                        ";"Выкл. IP44 10AX 250В бел                ";"56.00"
"Legrand             ";"774212                        ";"Перекл.на 2нап.2-кл. подсв.бел          ";"86.00"
"Legrand             ";"774220                        ";"Роз.2К+З нем.ст.кр.IP44защ.шт.бел       ";"Много"
"Legrand             ";"774222                        ";"Розетка 2К+З авт шт БЕЛ VLN             ";"Много"
"Legrand             ";"774223                        ";"VALENA РОЗЕТКА КОЛ БЕЛ                  ";"64.00"
"Legrand             ";"774230                        ";"RJ 45 - 1 выход, UTP, бел. Valena       ";"Много"
"Legrand             ";"774231                        ";"RJ 45 - 2 выхода, UTP, бел.             ";"Много"
"Legrand             ";"774238                        ";"Розетка Valena RJ45 белая 5e            ";"256.00"
"Legrand             ";"774263                        ";"VLN-c БЕЛ Диммер LED 300Вт              ";"5.00"
"Legrand             ";"774301                        ";"Выключатель 1кл. VALENA слонов. кость   ";"Много"
"Legrand             ";"774304                        ";"Мех. выкл. управл. жалюзи VALENA        ";"43.00"
"Legrand             ";"774305                        ";"Двойной выкл. VALENA слонов. кость      ";"Много"
"Legrand             ";"774306                        ";"Перекл. 2 направл VALENA слонов. кость  ";"Много"
"Legrand             ";"774307                        ";"Перекл. промежут. VALENA слонов. кость  ";"490.00"
"Legrand             ";"774308                        ";"Двойн.перекл.на 2 направл.VALENA слонов.";"Много"
"Legrand             ";"774310                        ";"Выкл. с подсв.зел. лампа VALENA слонов. ";"423.00"
"Legrand             ";"774311                        ";"Кнопка 10А 230В                         ";"250.00"
"Legrand             ";"774314                        ";"Кн.выкл.д/упр.жалюзи (сл.к)             ";"103.00"
"Legrand             ";"774316                        ";"Розетка 2P 10/16A A VIS Valena          ";"Много"
"Legrand             ";"774320                        ";"Розетка 2К+З нем.ст.VALENA слонов. кость";"Много"
"Legrand             ";"774321                        ";"Розетка нем ст 2Р+Т со шторк VALENA     ";"Много"
"Legrand             ";"774322                        ";"Роз.нем ст с крышкой 2P+T VALENAслонов. ";"440.00"
"Legrand             ";"774324                        ";"Розетка для динамиков Valena слон. кость";"72.00"
"Legrand             ";"774326                        ";"Перекл. на 2 напр. с подсв. слон. кость ";"143.00"
"Legrand             ";"774327                        ";"Розетка 2P+T красн. с блокир. Valena    ";"72.00"
"Legrand             ";"774328                        ";"2-х клавишный выкл. с подсвет.слон.кость";"220.00"
"Legrand             ";"774329                        ";"Розетка TV простая VALENA слон. кость   ";"Много"
"Legrand             ";"774330                        ";"Розетка TV оконечн слон. кость Valena   ";"132.00"
"Legrand             ";"774331                        ";"Розетка TV-проходная VALENA слонов.     ";"189.00"
"Legrand             ";"774335                        ";"Розетка TV/FM SAT каб. сеть слон. кость ";"149.00"
"Legrand             ";"774336                        ";"Розетка ТВ-Радио-Спутник -оконечн.слон. ";"3.00"
"Legrand             ";"774338                        ";"Роз.телеф. RJ11 4конт 1выв VALENA слонов";"84.00"
"Legrand             ";"774346                        ";"Декоративная заглушка                   ";"242.00"
"Legrand             ";"774347                        ";"Вывод кабеля , слон.кость Valena        ";"346.00"
"Legrand             ";"774348                        ";"Переключатель пром. с подс              ";"2.00"
"Legrand             ";"774350                        ";"Рамка Valena (сл.кость) IP44            ";"57.00"
"Legrand             ";"774351                        ";"Рамка 1пост VALENA слонов. кость        ";"Много"
"Legrand             ";"774352                        ";"Рамка 2 поста гориз.VALENA слон.кость   ";"Много"
"Legrand             ";"774353                        ";"Рамка 3 поста гориз.VALENA слон.кость   ";"Много"
"Legrand             ";"774354                        ";"Рамка 4 поста гориз.VALENA слон.кость   ";"Много"
"Legrand             ";"774355                        ";"Рамка 5 пост. гориз. слон. кость Valena ";"Много"
"Legrand             ";"774370                        ";"ValenaРоз.нем.ст.2х2К+З(сл.к)           ";"Много"
"Legrand             ";"774371                        ";"Роз. 2P+T дв.нем. ст со шторк.слонVALENA";"52.00"
"Legrand             ";"774400                        ";"Valena Роз.нем.ст.2х2К+З(бел)           ";"Много"
"Legrand             ";"774401                        ";"Выключ. 1-клавишный,белый               ";"100.00"
"Legrand             ";"774404                        ";"Мех. выкл. для управл. жалюзи BLANC     ";"37.00"
"Legrand             ";"774405                        ";"Выключ.двойной,белый                    ";"Много"
"Legrand             ";"774406                        ";"Перекл. на 2 направл. Valena бел. 1 кл. ";"Много"
"Legrand             ";"774407                        ";"Перекл. промежут. Valena 1кл. бел.      ";"369.00"
"Legrand             ";"774408                        ";"Перекл. на 2 направл. Valena 2 кл. бел. ";"Много"
"Legrand             ";"774410                        ";"Выкл. с подсв. 1 кл. Valena бел.        ";"315.00"
"Legrand             ";"774411                        ";"Кнопка белая Valena 10A 230B            ";"154.00"
"Legrand             ";"774414                        ";"Кн.выкл.д/упр.жалюзи (бел)              ";"114.00"
"Legrand             ";"774416                        ";"Розетка 2P 10/16A белая                 ";"Много"
"Legrand             ";"774420                        ";"Розетка 2К+З нем.ст.VALENA белый        ";"Много"
"Legrand             ";"774421                        ";"Розетка 2P+Т со шторк. Valena бел.      ";"Много"
"Legrand             ";"774422                        ";"Розетка 2P+T SCHUKO с крышкой           ";"Много"
"Legrand             ";"774424                        ";"Розетка для динамиков Valena цв. белый  ";"39.00"
"Legrand             ";"774426                        ";"Перекл. на 2 напр. с подсв. белый       ";"43.00"
"Legrand             ";"774427                        ";"Роз. 2P+T дв.нем. ст со шторк.бел VALENA";"278.00"
"Legrand             ";"774428                        ";"2-х клавишный выключатель с подсвет.    ";"230.00"
"Legrand             ";"774429                        ";"Розетка TV простая,белый                ";"Много"
"Legrand             ";"774430                        ";"Розетка TV 2400MHZ оконечная            ";"158.00"
"Legrand             ";"774431                        ";"Розетка TV 400MHZ проходн. Valena белая ";"106.00"
"Legrand             ";"774435                        ";"Розетка TV/FM/SAT каб. сеть цв. белый   ";"78.00"
"Legrand             ";"774437                        ";"Розетка TV/RD/SAT проходн. цв. белый    ";"1.00"
"Legrand             ";"774438                        ";"Розетка телеф. RJ11 4контакта, 1 вывод  ";"136.00"
"Legrand             ";"774446                        ";"Декоративная заглушка                   ";"285.00"
"Legrand             ";"774447                        ";"Вывод кабеля белый Valena               ";"277.00"
"Legrand             ";"774450                        ";"Влагозащищ.рамка IP44 1 пост            ";"63.00"
"Legrand             ";"774451                        ";"Рамка 1пост,белый                       ";"Много"
"Legrand             ";"774452                        ";"Рамка 2поста,гориз.уст-ка,белый         ";"Много"
"Legrand             ";"774453                        ";"Рамка 3поста,гориз.уст-ка,белый         ";"Много"
"Legrand             ";"774454                        ";"Рамка 4поста,гориз.уст-ка,белый         ";"194.00"
"Legrand             ";"774455                        ";"Рамка 5 пост. гориз. белая Valena       ";"413.00"
"Legrand             ";"775602                        ";"Перекл. на 2 напр. с подсв.             ";"3.00"
"Legrand             ";"775761                        ";"Розетка  RJ45 CAT5E UTP 1вых            ";"11.00"
"Legrand             ";"775801                        ";"Выключатель PRO21                       ";"51.00"
"Legrand             ";"775805                        ";"Выключатель двойной                     ";"6.00"
"Legrand             ";"775806                        ";"Переключ.на 2 направления PRO21         ";"8.00"
"Legrand             ";"775808                        ";"Переключ. на 2 направл.двойной PRO21    ";"14.00"
"Legrand             ";"775868                        ";"Термостат д/помещ.PRO21                 ";"1.00"
"Legrand             ";"775897                        ";"Лампа зеленая 230B, 0.5мA               ";"6.00"
"Legrand             ";"77594                         ";"USB роз. д/зарядки двойная бел          ";"3.00"
"Legrand             ";"775965                        ";"Розетка TV прост Galea PRO21            ";"10.00"
"Legrand             ";"77601                         ";"Mosaic Розетка 2м 2К+З н.ст.            ";"10.00"
"Legrand             ";"77602                         ";"Mosaic Розетка 4м 2Х2К+З н.ст.          ";"188.00"
"Legrand             ";"77603                         ";"Mosaic Розетка 6м 3Х2К+З н.ст.          ";"27.00"
"Legrand             ";"776131                        ";"Коробка для накл. монтажа Valena сл.кост";"68.00"
"Legrand             ";"776132                        ";"Коробка для накл монт 2п Valena сл.кост ";"37.00"
"Legrand             ";"776133                        ";"Коробка для накл монт 3п Valena сл.кост ";"29.00"
"Legrand             ";"776182                        ";"Коробка для накл. монт. 2п Valena белая ";"18.00"
"Legrand             ";"776183                        ";"Коробка для накл. монт. 3п Valena белая ";"41.00"
"Legrand             ";"777020                        ";"Обрамление для роз.2P+T,белая           ";"24.00"
"Legrand             ";"782200                        ";"Выключатель 10A 1клав БЕЛ               ";"Много"
"Legrand             ";"782202                        ";"Выключатель 10A 2клав БЕЛ               ";"Много"
"Legrand             ";"782204                        ";"Переключатель 10A 1клавБЕЛ              ";"359.00"
"Legrand             ";"782205                        ";"Кнопка 6А 1клав БЕЛ                     ";"100.00"
"Legrand             ";"782206                        ";"Переключатель 10A 2клавБЕЛ              ";"90.00"
"Legrand             ";"782210                        ";"Розетка 2К без шт БЕЛ                   ";"458.00"
"Legrand             ";"782211                        ";"Розетка 2К+З без шт БЕЛ                 ";"Много"
"Legrand             ";"782212                        ";"Розетка 2X2К без шт БЕЛ                 ";"Много"
"Legrand             ";"782213                        ";"Розетка 2X2К+З без шт БЕЛ               ";"Много"
"Legrand             ";"782214                        ";"Розетка RJ11 БЕЛ                        ";"10.00"
"Legrand             ";"782215                        ";"Розетка TV БЕЛ                          ";"104.00"
"Legrand             ";"782218                        ";"Розетка 3X2К+З шт БЕЛ                   ";"Много"
"Legrand             ";"782220                        ";"Розетка 2К+З шт БЕЛ                     ";"464.00"
"Legrand             ";"782222                        ";"Роз.дв 32А/2К+З шт БЕЛ                  ";"94.00"
"Legrand             ";"782223                        ";"Розетка 2X2К+З шт БЕЛ                   ";"Много"
"Legrand             ";"782224                        ";"РозеткаRJ45 кат5е UTP БЕЛ               ";"324.00"
"Legrand             ";"782225                        ";"Адаптер для Mosaic                      ";"1.00"
"Legrand             ";"782228                        ";"Розетка2XRJ45 к 5е UTP БЕЛ              ";"111.00"
"Legrand             ";"782230                        ";"Выключатель 10A 1клав СЛНК              ";"Много"
"Legrand             ";"782232                        ";"Выключатель 10A 2клавСЛНК               ";"Много"
"Legrand             ";"782234                        ";"Переключатель 10A 1кл СЛНК              ";"144.00"
"Legrand             ";"782235                        ";"Кнопка 6А 1клав СЛНК                    ";"11.00"
"Legrand             ";"782236                        ";"Переключатель 10A 2кл СЛНК              ";"51.00"
"Legrand             ";"782240                        ";"Розетка 2К без шт СЛНК                  ";"241.00"
"Legrand             ";"782241                        ";"Розетка 2К+З без шт СЛНК                ";"Много"
"Legrand             ";"782242                        ";"Розетка 2X2К без шт СЛНК                ";"Много"
"Legrand             ";"782243                        ";"Розетка 2X2К+З без шт СЛНК              ";"Много"
"Legrand             ";"782245                        ";"Розетка TV СЛНК                         ";"100.00"
"Legrand             ";"782248                        ";"Розетка 3X2К+З шт СЛНК                  ";"352.00"
"Legrand             ";"782250                        ";"Розетка 2К+З шт СЛНК                    ";"188.00"
"Legrand             ";"782253                        ";"Розетка 2X2К+З шт СЛНК                  ";"36.00"
"Legrand             ";"782254                        ";"РозеткаRJ45 кат5е UTP СЛНК              ";"116.00"
"Legrand             ";"782257                        ";"Лампа для подсветки                     ";"109.00"
"Legrand             ";"782260                        ";"Выключатель 10A 1клав ДЕРВ              ";"498.00"
"Legrand             ";"782262                        ";"Выключатель 10A 2клав ДЕРВ              ";"495.00"
"Legrand             ";"782264                        ";"Переключатель 10A 1кл ДЕРВ              ";"180.00"
"Legrand             ";"782266                        ";"Переключатель 10A 2кл ДЕРВ              ";"39.00"
"Legrand             ";"782269                        ";"Розетка TV Звезда ДЕРВ                  ";"25.00"
"Legrand             ";"782270                        ";"Розетка 2К без шт ДЕРВ                  ";"28.00"
"Legrand             ";"782271                        ";"Розетка 2К+З без шт ДЕРВ                ";"197.00"
"Legrand             ";"782272                        ";"Розетка 2X2К без шт ДЕРВ                ";"50.00"
"Legrand             ";"782273                        ";"Розетка 2X2К+З без шт ДЕРВ              ";"Много"
"Legrand             ";"782274                        ";"Розетка RJ11 ДЕРВ                       ";"2.00"
"Legrand             ";"782278                        ";"Розетка 3X2К+З шт ДЕРВ                  ";"66.00"
"Legrand             ";"782280                        ";"Розетка 2К+З шт ДЕРВ                    ";"4.00"
"Legrand             ";"782283                        ";"Розетка 2X2К+З шт ДЕРВ                  ";"273.00"
"Legrand             ";"782294                        ";"4пост.рамка накл.монтажа БЕЛ            ";"127.00"
"Legrand             ";"782296                        ";"6пост.рамка накл.монтажа БЕЛ            ";"37.00"
"Legrand             ";"782300                        ";"Выключат 10A 1кл IP44 БЕЛ               ";"172.00"
"Legrand             ";"782302                        ";"Выключат 10A 2кл IP44 БЕЛ               ";"23.00"
"Legrand             ";"782304                        ";"Переключат 10A 1клIP44 БЕЛ              ";"39.00"
"Legrand             ";"782318                        ";"Выкл+роз 2К+З шт IP44 БЕЛ               ";"14.00"
"Legrand             ";"782321                        ";"Розетка 2К+З шт IP44 БЕЛ                ";"Много"
"Legrand             ";"782323                        ";"Розетка 2X2К+З шт IP44 БЕЛ              ";"456.00"
"Legrand             ";"782330                        ";"Выключат 10A 1кл IP44 СЕР               ";"152.00"
"Legrand             ";"782332                        ";"Выключат 10A 2кл IP44 СЕР               ";"95.00"
"Legrand             ";"782334                        ";"Переключат 10A 1клIP44 СЕР              ";"57.00"
"Legrand             ";"782348                        ";"Выкл+роз 2К+З шт IP44 СЕР               ";"4.00"
"Legrand             ";"782351                        ";"Розетка 2К+З шт IP44 СЕР                ";"451.00"
"Legrand             ";"782353                        ";"Розетка 2X2К+З шт IP44 СЕР              ";"259.00"
"Legrand             ";"78730                         ";"Mosaic Розетка RJ11 (1 модуль)          ";"151.00"
"Legrand             ";"78802                         ";"Mosaic Рамка 2 модуля                   ";"15.00"
"Legrand             ";"78804                         ";"Mosaic Рамка 2X2 модуля гор.            ";"292.00"
"Legrand             ";"78806                         ";"Mosaic Рамка 3X2 модуля гор.            ";"147.00"
"Legrand             ";"78808                         ";"Mosaic Рамка 4X2 модуля гор.            ";"106.00"
"Legrand             ";"78818                         ";"Mosaic Рамка 8 модулей                  ";"1.00"
"Legrand             ";"80042                         ";"Batibox Кор.сух.пер.2п гл.40мм          ";"17.00"
"Legrand             ";"80051                         ";"Batibox Кор.сух.пер.1п гл.50мм          ";"92.00"
"Legrand             ";"80052                         ";"Batibox Кор.сух.пер.2п гл.50мм          ";"69.00"
"Legrand             ";"80054                         ";"Batibox Кор.сух.пер.4п гл.50мм          ";"8.00"
"Legrand             ";"80141                         ";"Batib.Коробка для кирп.стены 1п глуб40мм";"469.00"
"Legrand             ";"80184                         ";"Batib.Кор.кир.ст. 32A гл.40мм           ";"97.00"
"Legrand             ";"80188                         ";"Batibox 2м д/встр. блоков IP44          ";"53.00"
"Legrand             ";"80251                         ";"Batibox Суппорт 1 пост 2 модуля         ";"Много"
"Legrand             ";"80252                         ";"Batibox Суппорт 2 поста 2 модуля        ";"155.00"
"Legrand             ";"80253                         ";"Batibox Суппорт 3 поста 6-8 модулей     ";"22.00"
"Legrand             ";"81988                         ";"Кор.в бетон д/встр.блоков IP44          ";"53.00"
"Legrand             ";"86129                         ";"Розетка нем. станд.2P+T без шторок OTEO ";"2.00"
"Legrand             ";"89630                         ";"Коробка встраиваемая 10М/12М            ";"5.00"
"Legrand             ";"89700                         ";"Встр. блок IP44 квад.нерж.2м            ";"31.00"
"Legrand             ";"89701                         ";"Встр. блок IP44 круг.нерж.2м            ";"16.00"
"Legrand             ";"89702                         ";"Встр. блок IP44 нерж. 2х2м              ";"24.00"
"Legrand             ";"89711                         ";"Встр. блок IP44 круг.бронз.2м           ";"4.00"
"Legrand             ";"89712                         ";"Встр.блок IP44 бронз. 2х2м              ";"1.00"
"Osram               ";"44890WFL                      ";"Лампа галоген. 20W 12V GU4 2000h        ";"98.00"
"Osram               ";"DULUX EL CL A 5W/41-827       ";"Компактн.люм.лампа  5W E27              ";"17.00"
"Philips             ";"S10                           ";"Стартёр S10 стан 4-65W 220V             ";"4.00"
"Philips             ";"S2                            ";"Стартер   4 -   22W   110 - 240V        ";"25.00"
"Philips             ";"TL-D 18W/640                  ";"Лампа люмин. 18W, тепл.-бел             ";"11.00"
"Schneider           ";"13977                         ";"ПЫЛЕВЛАГОЗАЩ.КОРП.ЩИТА KAEDRA 6 МОД     ";"5.00"
"Schneider           ";"13978                         ";"Пылевлагозащ.корп.щита. Mini Kaedra 8мод";"1.00"
"Schneider           ";"13979                         ";"ПЫЛЕВЛАГОЗАЩ. КОРП. ЩИТА 1РЯД/12МОД     ";"3.00"
"Schneider           ";"13983                         ";"Пылевлагоз.корп.щита Kaedra 24мод (2x12)";"1.00"
"Schneider           ";"13985                         ";"COFFRET KAEDRA 3*12 MOD (A)             ";"1.00"
"Schneider           ";"29450                         ";"Доп.контакт для NS80/630-NSA            ";"4.00"
"Schneider           ";"A16-051M-B                    ";"ВЫКЛ. ПРИМА О.У 1КЛ.МОНТ.ПЛ.БЕЛ.        ";"Много"
"Schneider           ";"A9A15310                      ";"ЩИТ.РОЗ. iPC DIN 2П+T 16A 250В НЕМ      ";"2.00"
"Schneider           ";"A9A26924                      ";"iOF КОНТАКТ СОСТОЯНИЯ (АКТИ 9)          ";"3.00"
"Schneider           ";"A9F78110                      ";"АВТ. ВЫКЛ.iC60N 1П 10A B                ";"7.00"
"Schneider           ";"A9F78116                      ";"АВТ. ВЫКЛ.iC60N 1П 16A B                ";"2.00"
"Schneider           ";"A9F78125                      ";"АВТ. ВЫКЛ.iC60N 1П 25A B                ";"3.00"
"Schneider           ";"A9F78316                      ";"АВТ. ВЫКЛ.iC60N 3П 16A B                ";"1.00"
"Schneider           ";"A9F79132                      ";"АВТ. ВЫКЛ.iC60N 1П 32A C                ";"6.00"
"Schneider           ";"A9F79140                      ";"АВТ. ВЫКЛ.iC60N 1П 40A C                ";"10.00"
"Schneider           ";"A9F79340                      ";"АВТ. ВЫКЛ.iC60N 3П 40A C                ";"1.00"
"Schneider           ";"A9F79350                      ";"АВТ. ВЫКЛ.iC60N 3П 50A C                ";"1.00"
"Schneider           ";"A9F79363                      ";"АВТ. ВЫКЛ.iC60N 3П 63A C                ";"1.00"
"Schneider           ";"A9K24210                      ";"АВТ. ВЫКЛ.iK60 2П 10A C                 ";"5.00"
"Schneider           ";"A9K24310                      ";"АВТ. ВЫКЛ.iK60 3П 10A C                 ";"3.00"
"Schneider           ";"A9R41225                      ";"ДИФФ.ВЫКЛ.НАГР. iID 2П 25A 30mA AC-ТИП  ";"3.00"
"Schneider           ";"ATN000101                     ";"1-п РАМКА, БЕЛЫЙ                        ";"Много"
"Schneider           ";"ATN000102                     ";"2-п РАМКА, универсальная, БЕЛЫЙ         ";"Много"
"Schneider           ";"ATN000103                     ";"3-п РАМКА, универсальная, БЕЛЫЙ         ";"355.00"
"Schneider           ";"ATN000104                     ";"4-п РАМКА, универсальная, БЕЛЫЙ         ";"139.00"
"Schneider           ";"ATN000105                     ";"5-п РАМКА, универсальная, БЕЛЫЙ         ";"83.00"
"Schneider           ";"ATN000111                     ";"1-кл ВЫКЛ, сх.1, 10АХ, м-зм, БЕЛЫЙ      ";"381.00"
"Schneider           ";"ATN000112                     ";"1-кл ВЫКЛ, сх.1, 10АХ, в сборе, БЕЛЫЙ   ";"7.00"
"Schneider           ";"ATN000113                     ";"1-кл ВЫКЛ с подсветкой, сх.1а, 10АХ, м-з";"40.00"
"Schneider           ";"ATN000115                     ";"ATLASDESIGN ВЫКЛЮЧАТЕЛЬ с самовозвратом,";"2.00"
"Schneider           ";"ATN000122                     ";"РОЗЕТКА 2X2P шт,16А, в сборе, БЕЛЫЙ     ";"9.00"
"Schneider           ";"ATN000124                     ";"РОЗЕТКА  2X2P+E, 16А, в сборе, БЕЛЫЙ    ";"239.00"
"Schneider           ";"ATN000128                     ";"РОЗЕТКА 2X2P+E штор. сдвиж. крыш., 16А, ";"13.00"
"Schneider           ";"ATN000131                     ";"3-клав ВЫКЛ, сх.1+1+1, 10АХ, м-зм, БЕЛЫЙ";"29.00"
"Schneider           ";"ATN000134                     ";"СВЕТОРЕГУЛЯТОР , 315Вт, мех., БЕЛЫЙ     ";"7.00"
"Schneider           ";"ATN000136                     ";"СВЕТОРЕГУЛЯТОР , 630Вт, мех., БЕЛЫЙ     ";"6.00"
"Schneider           ";"ATN000137                     ";"ДАТЧИК ДВИЖЕНИЯ потолочный, 2000 Вт, 360";"3.00"
"Schneider           ";"ATN000138                     ";"ТЕРМОСТАТ с датч.,от+5до+35°C,16A,в сб.,";"12.00"
"Schneider           ";"ATN000141                     ";"РОЗЕТКА 2P, 16А, м-зм, БЕЛЫЙ            ";"358.00"
"Schneider           ";"ATN000143                     ";"РОЗЕТКА 2P+E, 16А, м-зм, БЕЛЫЙ          ";"41.00"
"Schneider           ";"ATN000144                     ";"РОЗЕТКА 2P+E шт, 16А, в сборе, БЕЛЫЙ    ";"9.00"
"Schneider           ";"ATN000145                     ";"РОЗЕТКА 2P+E шт, 16А, м-зм, БЕЛЫЙ       ";"150.00"
"Schneider           ";"ATN000146                     ";"РОЗЕТКАс заземл. шт с крышкой, 16А, IP20";"120.00"
"Schneider           ";"ATN000147                     ";"РОЗЕТКА 2P+E шт с выталк., 16А, м-зм, БЕ";"44.00"
"Schneider           ";"ATN000151                     ";"2-кл  ВЫКЛ., сх.5, 10АХ, м-зм, БЕЛЫЙ    ";"418.00"
"Schneider           ";"ATN000153                     ";"2-кл  ВЫКЛ. с подсветкой, сх.5а, 10АХ, м";"4.00"
"Schneider           ";"ATN000161                     ";"1-кл ПЕРЕКЛ, сх.6, 10АХ, м-зм, БЕЛЫЙ    ";"125.00"
"Schneider           ";"ATN000163                     ";"1-кл ПЕРЕКЛ с подсветкой, сх.6а, 10АХ, м";"33.00"
"Schneider           ";"ATN000165                     ";"2-кл ПЕРЕКЛ, сх.6, 10АХ, м-зм, БЕЛЫЙ    ";"131.00"
"Schneider           ";"ATN000171                     ";"Перекрестный ПЕРЕКЛ, сх.7, 10АХ, м-зм, Б";"56.00"
"Schneider           ";"ATN000181                     ";"РОЗЕТКА RJ11, м-зм, БЕЛЫЙ               ";"20.00"
"Schneider           ";"ATN000183                     ";"РОЗЕТКА RJ45, м-зм, БЕЛЫЙ               ";"157.00"
"Schneider           ";"ATN000185                     ";"РОЗЕТКА   RJ45+RJ45, кат.5E, м-зм, БЕЛЫЙ";"67.00"
"Schneider           ";"ATN000187                     ";"АУДИОРОЗЕТКА двухместная, БЕЛЫЙ         ";"12.00"
"Schneider           ";"ATN000189                     ";"РОЗЕТКА  ТВ +  RJ45, кат. 5Е, БЕЛЫЙ     ";"117.00"
"Schneider           ";"ATN000191                     ";"TV РОЗЕТКА окон 1DB, м-зм, БЕЛЫЙ        ";"134.00"
"Schneider           ";"ATN000192                     ";"TV РОЗЕТКА проходная 4DB, м-зм, БЕЛЫЙ   ";"21.00"
"Schneider           ";"ATN000193                     ";"TV АНТЕННА коннектор, м-зм, БЕЛЫЙ       ";"27.00"
"Schneider           ";"ATN000199                     ";" ВЫВОД КАБЕЛЯ, м-зм, БЕЛЫЙ              ";"16.00"
"Schneider           ";"ATN000201                     ";"1-п РАМКА, БЕЖЕВЫЙ                      ";"Много"
"Schneider           ";"ATN000202                     ";"2-п РАМКА, универсальная, БЕЖЕВЫЙ       ";"Много"
