"Производитель";"Код";"Название";"Наличие"
"ABB                 ";"2CDS641041R0204               ";"BMS411C20-Авт.выкл.1P.20A.C.4,5кА       ";"310.00"
"ABB                 ";"2CDS641041R0254               ";"BMS411C25-Авт.выкл.1P.25A.C.4,5кА       ";"Много"
"ABB                 ";"2CDS641041R0324               ";"BMS411C32-Авт.выкл.1P.32A.C.4,5кА       ";"177.00"
"ABB                 ";"2CDS641041R0404               ";"BMS411C40-Авт.выкл.1P.40A.C.4,5кА       ";"59.00"
"ABB                 ";"2CDS641041R0504               ";"BMS411C50-Авт.выкл.1P.50A.C.4,5кА       ";"16.00"
"ABB                 ";"2CDS641041R0634               ";"BMS411C63-Авт.выкл.1P.63A.C.4,5кА       ";"20.00"
"ABB                 ";"2CDS642041R0104               ";"BMS412C10-Авт.выкл.2P.10A.C.4,5кА       ";"7.00"
"ABB                 ";"2CDS642041R0164               ";"BMS412C16-Авт.выкл.2P.16A.C.4,5кА       ";"4.00"
"ABB                 ";"2CDS642041R0204               ";"BMS412C20-Авт.выкл.2P.20A.C.4,5кА       ";"10.00"
"ABB                 ";"2CDS642041R0254               ";"BMS412C25-Авт.выкл.2P.25A.C.4,5кА       ";"33.00"
"ABB                 ";"2CDS642041R0324               ";"BMS412C32-Авт.выкл.2P.32A.C.4,5кА       ";"3.00"
"ABB                 ";"2CDS642041R0404               ";"BMS412C40-Авт.выкл.2P.40A.C.4,5кА       ";"9.00"
"ABB                 ";"2CDS642041R0504               ";"BMS412C50-Авт.выкл.2P.50A.C.4,5кА       ";"12.00"
"ABB                 ";"2CDS642041R0634               ";"BMS412C63-Авт.выкл.2P.63A.C.4,5кА       ";"7.00"
"ABB                 ";"2CDS643041R0104               ";"BMS413C10-Авт.выкл.3P.10A.C.4,5кА       ";"6.00"
"ABB                 ";"2CDS643041R0164               ";"BMS413C16-Авт.выкл.3P.16A.C.4,5кА       ";"22.00"
"ABB                 ";"2CDS643041R0204               ";"BMS413C20-Авт.выкл.3P.20A.C.4,5кА       ";"12.00"
"ABB                 ";"2CDS643041R0254               ";"BMS413C25-Авт.выкл.3P.25A.C.4,5кА       ";"120.00"
"ABB                 ";"2CDS643041R0324               ";"BMS413C32-Авт.выкл.3P.32A.C.4,5кА       ";"14.00"
"ABB                 ";"2CDS643041R0404               ";"BMS413C40-Авт.выкл.3P.40A.C.4,5кА       ";"30.00"
"ABB                 ";"2CDS643041R0504               ";"BMS413C50-Авт.выкл.3P.50A.C.4,5кА       ";"22.00"
"ABB                 ";"2CDS643041R0634               ";"BMS413C63-Авт.выкл.3P.63A.C.4,5кА       ";"19.00"
"ABB                 ";"2CKA001724A4317               ";"1743-01-96-507-Механизм TV-розетки,шале ";"1.00"
"ABB                 ";"2CLA224400N1901               ";"N2244 CV-Механизм выключателя жалюзи кно";"2.00"
"ABB                 ";"2CLA228800N1801               ";"N2288 AN-Розетка SCHUKO с заземлением, с";"1.00"
"ABB                 ";"2CMA101967R1000               ";"416EP6-Вилка каб.16А,3P+N+E,IP44,6      ";"32.00"
"ABB                 ";"2CMA101975R1000               ";"232EP6-Вилка кабельная 32А,2P+E,IP44,6ч ";"31.00"
"ABB                 ";"2CMA101995R1000               ";"432EP6-Вилка каб 32А,3P+N+E,IP44,6      ";"4.00"
"ABB                 ";"2CMA102012R1000               ";"316EC6-Розетка каб 16А,3P+E,IP44,6ч     ";"37.00"
"ABB                 ";"2CMA193122R1000               ";"232RS6-Розетка 32A,2P+E,IP44,6ч         ";"32.00"
"ABB                 ";"2CPX031393R9999               ";"UK650MV- Шкаф мультимедиа с вент. дверью";"1.00"
"ABB                 ";"2CPX031398R9999               ";"UK662CV-Шкаф 24М комби с вент. дверью   ";"2.00"
"ABB                 ";"2CPX077850R9999               ";"UK610P2RU Шкаф на 12М с самозаж N/PE    ";"1.00"
"ABB                 ";"2CPX077851R9999               ";"UK620P3RU Шкаф на 24М с самозажимными N/";"3.00"
"ABB                 ";"2CPX077852R9999               ";"UK630P3RU Шкаф на 36М с самозажимными N/";"3.00"
"ABB                 ";"2CPX077853R9999               ";"UK640P3RU Шкаф на 48М с самозажимными N/";"2.00"
"ABB                 ";"2CPX077855R9999               ";"UK610V2RU Шкаф внутрен. Монт на 12М с ви";"4.00"
"ABB                 ";"2CPX077856R9999               ";"UK620V3RU Шкаф внутрен.монтаж на 24М с в";"7.00"
"ABB                 ";"2CPX077858R9999               ";"UK640V3RU Шкаф внутрен. Монт. 48М с винт";"6.00"
"ABB                 ";"2CSF202001R0160               ";"Выкл.диф.тока 2мод. F202 AC-16/0,01     ";"25.00"
"ABB                 ";"2CSF202001R1630               ";"Выкл.диф.тока 2мод. F202 AC-63/0,03     ";"5.00"
"ABB                 ";"2CSF202003R3400               ";"Выкл.диф.тока 2мод. FH202 AC-40/0,3     ";"7.00"
"ABB                 ";"2CSF202003R3630               ";"Выкл.диф.тока 2мод. FH202 AC-63/0,3     ";"19.00"
"ABB                 ";"2CSF202006R2400               ";"Выкл.диф.тока 2мод. FH202 AC-40/0,1     ";"4.00"
"ABB                 ";"2CSF202006R2630               ";"Выкл.диф.тока 2мод. FH202AC-63/0,1      ";"2.00"
"ABB                 ";"2CSF204001R3400               ";"Выкл.диф.тока 4мод. F204 AC-40/0,3      ";"1.00"
"ABB                 ";"2CSF204003R3400               ";"Выкл.диф.тока 4мод. FH204 AC-40/0,3     ";"8.00"
"ABB                 ";"2CSF204003R3630               ";"Выкл.диф.тока 4мод. FH204AC-63/0,3      ";"7.00"
"ABB                 ";"2CSF204004R1630               ";"Выкл.диф.тока 4мод. FH204 AC-63/0,03    ";"12.00"
"ABB                 ";"2CSF602041R1250               ";"BMF41225-Выкл.диф.тока2P.25A.30мA.AC    ";"8.00"
"ABB                 ";"2CSF602041R1400               ";"BMF41240-Выкл.диф.тока2P.40A.30мA.AC    ";"11.00"
"ABB                 ";"2CSL910001R1012               ";"Шинная разводка 1ф 12м BS9 1/12         ";"19.00"
"ABB                 ";"2CSL910011R1012               ";"Шинная разводка 1ф 12м BS9 1/12NA       ";"13.00"
"ABB                 ";"2CSM110000R0701               ";"Розетка щитовая 2Р+N 16A M1173          ";"18.00"
"ABB                 ";"2CSR145001R1164               ";"Авт.диф.тока DSH941R C16 30мА тип АС    ";"Много"
"ABB                 ";"2CSR145001R1324               ";"Авт.диф.тока DSH941R C32 30мА тип АС    ";"68.00"
"ABB                 ";"2CSR245072R1104               ";"Выключатель авт.диф.т.DSH201R C10 AC30  ";"115.00"
"ABB                 ";"2CSR245072R1164               ";"Выключатель авт.диф.т.DSH201R C16 AC30  ";"Много"
"ABB                 ";"2CSR245072R1204               ";"Выключатель авт.диф.т.DSH201R C20 AC30  ";"38.00"
"ABB                 ";"2CSR245072R1254               ";"Выключатель авт.диф.т.DSH201R C25 AC30  ";"91.00"
"ABB                 ";"2CSR245072R1324               ";"Выключатель авт.диф.т.DSH201R C32 AC30  ";"5.00"
"ABB                 ";"2CSR645041R1104               ";"BMR415C10-Выкл.авт.диф.тока.1P+N.10А.C.4";"106.00"
"ABB                 ";"2CSR645041R1164               ";"BMR415C16-Выкл.авт.диф.тока.1P+N.16А.C.4";"Много"
"ABB                 ";"2CSR645041R1204               ";"BMR415C20-Выкл.авт.диф.тока.1P+N.20А.C.4";"94.00"
"ABB                 ";"2CSR645041R1254               ";"BMR415C25-Выкл.авт.диф.тока.1P+N.25А.C.4";"157.00"
"ABB                 ";"2CSR645041R1324               ";"BMR415C32-Выкл.авт.диф.тока.1P+N.32А.C.4";"35.00"
"ABB                 ";"2CSR645041R1404               ";"BMR415C40-Выкл.авт.диф.тока.1P+N.40А.C.4";"14.00"
"ABB                 ";"7TCA300020R0000               ";"Cтяж.каб.Spec-Kon,SKT100-80-100,100х2.5м";"8.00"
"ABB                 ";"7TCA300020R0001               ";"Cтяж.каб.Spec-Kon,SKT140-80-100,140х2,5м";"14.00"
"ABB                 ";"7TCA300020R0003               ";"Cтяж.каб.Spec-Kon,SKT200-80-100,100шт   ";"40.00"
"ABB                 ";"7TCA300060R0001               ";"Cтяж.каб.Spec-Kon,SKT140-80X-100,140х2,5";"4.00"
"ABB                 ";"7TCA300060R0003               ";"Cтяж.каб.Spec-Kon,SKT200-80X-100,200х2,5";"5.00"
"ABB                 ";"7TCA300100R0000               ";"Cтяж.каб.Spec-Kon,SKT140-180-100,100шт  ";"28.00"
"ABB                 ";"7TCA300100R0001               ";"Cтяж.каб.Spec-Kon,SKT200-180-100,100шт  ";"53.00"
"ABB                 ";"7TCA300140R0001               ";"Cтяж.Spec-Kon,SKT200-180X-100,200х3,6мм ";"15.00"
"ABB                 ";"7TCA300140R0002               ";"Cтяж.Spec-Kon,SKT300-180X-100,300х3.6мм ";"1.00"
"ABB                 ";"AT22E                         ";"Щит распределительный 374х574х140       ";"7.00"
"ABB                 ";"AT31                          ";" Распределительный щит 524х324х140      ";"1.00"
"ABB                 ";"AT41                          ";" Щит распределительный 674х324х140      ";"3.00"
"ABB                 ";"AT42                          ";"Распр. щит навесной до160А 96мод        ";"11.00"
"ABB                 ";"AT43                          ";"Распределит. щит до 160А 674x824x140    ";"1.00"
"ABB                 ";"AT52                          ";"Распределит. щит 824х574х140            ";"7.00"
"ABB                 ";"AT53                          ";"Распределительный щит 824х824х140       ";"2.00"
"ABB                 ";"AT61                          ";"Распределительный щит 974х324х140       ";"2.00"
"ABB                 ";"AT62                          ";"Распределительный щит 974х574х140       ";"5.00"
"ABB                 ";"U32                           ";"Распределит. щит в нишу 534х560х120     ";"2.00"
"ABB                 ";"U41                           ";"Щит распределительный в нишу 684х310х120";"2.00"
"ABB                 ";"U42                           ";"Щит распределительный в нишу 684х560х120";"4.00"
"ABB                 ";"U51                           ";"Щит распределительный в нишу 834х310х120";"8.00"
"ABB                 ";"U52                           ";"Щит распред в нишу 834х560х120          ";"1.00"
"ABB                 ";"U53                           ";"Щит распределительный в нишу 834х810х120";"2.00"
"ABB                 ";"U61                           ";"Распределит. щит в нишу 1000х325х120    ";"3.00"
"ABB                 ";"U63E                          ";"Распределит. щит в нишу 1000х825х120    ";"3.00"
"Bticino             ";"HC4051                        ";"Axolute выкл. 16 А  светл 1м            ";"3.00"
"Bticino             ";"HC4051/2                      ";"Axolute выкл. 16 А  светл 2м            ";"1.00"
"Bticino             ";"HC4051M2A                     ";"Axolute Выключатель традиционный,16А, 2 ";"1.00"
"Bticino             ";"HC4053                        ";"Ax. Перекл на 2напр. 16А  свет 1м       ";"1.00"
"Bticino             ";"HC4053/2                      ";"Ax. Перекл на 2напр. 16А  свет          ";"2.00"
"Bticino             ";"HC4140/16F                    ";"AXL Роз.2К+З ит/н flat 2м алю           ";"4.00"
"Bticino             ";"HC4141                        ";"Ax. Роз. Нем.ст. 2P+E 16A  светл        ";"2.00"
"Bticino             ";"HD4051                        ";"Axolute Выключатель 1Р 16 А 250 В~ цвет ";"6.00"
"Bticino             ";"HD4051M2                      ";"Axolute традиционный выключатель 1Р 16 А";"2.00"
"Bticino             ";"HD4053                        ";"Axolute Переключатель на 2 направления 1";"3.00"
"Bticino             ";"HD4279C6                      ";"axolute RJ 45 UTP кат6 цвет бел.        ";"1.00"
"Bticino             ";"HD4950                        ";"Axolute Заглушка 1 мод., цвет бел.      ";"1.00"
"Bticino             ";"HS4053/2                      ";"Ax. Перекл на 2напр. 16А  темн          ";"4.00"
"Bticino             ";"NT4141AN                      ";"LivingLight Розетка силовая 2К+З с автом";"1.00"
"Bticino             ";"NT4202D                       ";"Экранир. TV роз. окон. 1мод, ""папа""     ";"1.00"
"DEKraft             ";"11050DEK                      ";"Авт. выкл. 1Р 2А х-ка C ВА-101 4,5кА    ";"20.00"
"DEKraft             ";"11052DEK                      ";"Авт. выкл. 1Р 6А х-ка C ВА-101 4,5кА    ";"136.00"
"DEKraft             ";"11053DEK                      ";"Авт. выкл. 1Р 10А х-ка C ВА-101 4,5кА   ";"312.00"
"DEKraft             ";"11054DEK                      ";"Авт. выкл. 1Р 16А х-ка C ВА-101 4,5кА   ";"Много"
"DEKraft             ";"11055DEK                      ";"Авт. выкл. 1Р 20А х-ка C ВА-101 4,5кА   ";"36.00"
